surrogate_key,provider_specialty,hcpcs_code,hcpcs_description,year,total_services,total_beneficiaries,total_providers,pct_facility_services,avg_medicare_payment,avg_submitted_charge,avg_medicare_standardized_amount,payment_to_charge_ratio,prior_year_services,yoy_volume_change_pct,prior_year_avg_payment,yoy_payment_change_pct,specialty_avg_payment,specialty_avg_ptcr,payment_vs_specialty_pct,is_payment_outlier,mart_built_at
a3274f1f519f87415abb14c2c6137bda,Dermatology,17311,"Mohs surgery, first stage",2021,309,184,94,0.5459,87.3,141.01,86.69,0.6191,,,,,110.64,0.6188,-0.211,false,2026-03-27T14:04:02.725301
317edf8110da11150193bf513d1042f1,Dermatology,17312,"Mohs surgery, add'l stage",2021,406,266,70,0.5189,119.78,191.46,114.55,0.6256,,,,,110.64,0.6188,0.0826,false,2026-03-27T14:04:02.725368
70bbdbd337fbc63b6e67c17f5170236b,Dermatology,11102,"Tangential biopsy, skin",2021,413,249,52,0.5248,134.29,217.2,124.24,0.6183,,,,,110.64,0.6188,0.2138,false,2026-03-27T14:04:02.725399
fc2ec20d07d60160a9c7f266a12d8623,Dermatology,11104,"Punch biopsy, skin",2021,365,233,85,0.408,114.55,184.48,122.62,0.6209,,,,,110.64,0.6188,0.0353,false,2026-03-27T14:04:02.725420
9ea34db2cc71a8147f408fe6f1a0c481,Dermatology,17000,Destruct premalign lesion,2021,229,140,115,0.4409,81.01,131.92,79.05,0.6141,,,,,110.64,0.6188,-0.2678,false,2026-03-27T14:04:02.725441
528d2580149cca59386bb6e441562201,Dermatology,99213,"Office visit, est patient",2021,419,271,106,0.5147,119.97,196.06,123.4,0.6119,,,,,110.64,0.6188,0.0843,false,2026-03-27T14:04:02.725460
c9dbbda0eba8cbf654b556522b080a54,Dermatology,99214,"Office visit, est, moderate",2021,270,160,93,0.5485,116.51,186.63,129.25,0.6243,,,,,110.64,0.6188,0.0531,false,2026-03-27T14:04:02.725480
497c92673f82a725ab19bf84402f6849,Dermatology,17110,Destruct benign lesion,2021,382,232,87,0.351,101.43,166.73,101.92,0.6084,,,,,110.64,0.6188,-0.0832,false,2026-03-27T14:04:02.725497
e63b9e590a84cfc2a6a9f7fadadf810f,Dermatology,96910,Photochemotherapy,2021,228,142,111,0.2492,99.57,159.83,88.92,0.623,,,,,110.64,0.6188,-0.1001,false,2026-03-27T14:04:02.725516
2b61f65449d7f6c8563a2171afe50eba,Dermatology,11300,"Shave removal, lesion",2021,301,195,60,0.2762,109.49,176.04,100.63,0.622,,,,,110.64,0.6188,-0.0104,false,2026-03-27T14:04:02.725533
f167090a34f3678904367aa96b1c3427,Dermatology,17311,"Mohs surgery, first stage",2022,355,234,100,0.5609,85.21,146.65,84.61,0.581,309,0.1489,87.3,-0.0239,111.82,0.6018,-0.238,true,2026-03-27T14:04:02.725560
5c3886e241f4fcde6577e7e936354e6b,Dermatology,17312,"Mohs surgery, add'l stage",2022,429,276,74,0.5339,118.9,199.12,113.71,0.5971,406,0.0567,119.78,-0.0073,111.82,0.6018,0.0633,false,2026-03-27T14:04:02.725578
4be2ab3fddd8c54d31117010948fe6b6,Dermatology,11102,"Tangential biopsy, skin",2022,459,298,55,0.5398,137.52,225.89,127.22,0.6088,413,0.1114,134.29,0.0241,111.82,0.6018,0.2298,false,2026-03-27T14:04:02.725596
4fd7e5a45563e25d3de740b155aabde4,Dermatology,11104,"Punch biopsy, skin",2022,442,264,90,0.423,113.96,191.86,121.99,0.594,365,0.211,114.55,-0.0052,111.82,0.6018,0.0191,false,2026-03-27T14:04:02.725612
2134a739ddc8abc982129ebfddb3a685,Dermatology,17000,Destruct premalign lesion,2022,266,165,122,0.4559,83.29,137.2,81.27,0.6071,229,0.1616,81.01,0.0281,111.82,0.6018,-0.2551,false,2026-03-27T14:04:02.725630
a6853c7ef7d40cbdbcffb4bbaef5af7a,Dermatology,99213,"Office visit, est patient",2022,460,285,112,0.5297,123.32,203.91,126.85,0.6048,419,0.0979,119.97,0.0279,111.82,0.6018,0.1028,false,2026-03-27T14:04:02.725646
2eb30195ce6e368e54c09f9232b9692c,Dermatology,99214,"Office visit, est, moderate",2022,295,185,98,0.5635,116.12,194.1,128.82,0.5982,270,0.0926,116.51,-0.0033,111.82,0.6018,0.0385,false,2026-03-27T14:04:02.725664
c22fdd9a149057ac070241a24d2323ec,Dermatology,17110,Destruct benign lesion,2022,422,287,92,0.366,105.08,173.4,105.58,0.606,382,0.1047,101.43,0.036,111.82,0.6018,-0.0603,false,2026-03-27T14:04:02.725682
fa94d9395f99cca6bc9851a2fc3f850a,Dermatology,96910,Photochemotherapy,2022,243,158,117,0.2642,101.09,166.22,90.27,0.6081,228,0.0658,99.57,0.0153,111.82,0.6018,-0.096,false,2026-03-27T14:04:02.725712
4dd3af95fafd73e1f649473a34639500,Dermatology,11300,"Shave removal, lesion",2022,303,190,63,0.2912,112.3,183.08,103.21,0.6134,301,0.0066,109.49,0.0257,111.82,0.6018,0.0043,false,2026-03-27T14:04:02.725736
20613f8b52fb826aa4bddeddf3ac39d5,Dermatology,17311,"Mohs surgery, first stage",2023,404,263,106,0.5759,87.2,152.29,86.59,0.5726,355,0.138,85.21,0.0234,111.79,0.5818,-0.22,false,2026-03-27T14:04:02.725895
fe2fd1f650fa2c9ff7c1299c5d785260,Dermatology,17312,"Mohs surgery, add'l stage",2023,512,340,78,0.5489,119.88,206.78,114.64,0.5797,429,0.1935,118.9,0.0082,111.79,0.5818,0.0724,false,2026-03-27T14:04:02.725924
d9de651236c948a7ad5f924dbe74c167,Dermatology,11102,"Tangential biopsy, skin",2023,461,275,58,0.5548,136.4,234.58,126.19,0.5815,459,0.0044,137.52,-0.0081,111.79,0.5818,0.2201,false,2026-03-27T14:04:02.725946
49eb93114a496be1656cae6ec5973559,Dermatology,11104,"Punch biopsy, skin",2023,452,307,95,0.438,117.51,199.24,125.79,0.5898,442,0.0226,113.96,0.0312,111.79,0.5818,0.0512,false,2026-03-27T14:04:02.725965
cdabef7c8b2ce0d82498eca44cd3371c,Dermatology,17000,Destruct premalign lesion,2023,326,203,129,0.4709,82.56,142.47,80.56,0.5795,266,0.2256,83.29,-0.0088,111.79,0.5818,-0.2615,false,2026-03-27T14:04:02.725997
3da2de31d3bf0f017acdfe1422bff45f,Dermatology,99213,"Office visit, est patient",2023,580,369,118,0.5447,122.25,211.75,125.75,0.5773,460,0.2609,123.32,-0.0087,111.79,0.5818,0.0936,false,2026-03-27T14:04:02.726016
3361650282b172704f701ca3e15eb8a5,Dermatology,99214,"Office visit, est, moderate",2023,307,189,104,0.5785,116.55,201.56,129.29,0.5782,295,0.0407,116.12,0.0037,111.79,0.5818,0.0426,false,2026-03-27T14:04:02.726036
5645cc84bce6e73391c359d76aca9b72,Dermatology,17110,Destruct benign lesion,2023,492,332,98,0.381,104.73,180.06,105.24,0.5817,422,0.1659,105.08,-0.0033,111.79,0.5818,-0.0632,false,2026-03-27T14:04:02.726057
34e1bde499544f0d62b1ecc6ee5a2056,Dermatology,96910,Photochemotherapy,2023,259,159,124,0.2792,102.45,172.61,91.49,0.5935,243,0.0658,101.09,0.0135,111.79,0.5818,-0.0835,false,2026-03-27T14:04:02.726075
f4abf53b3b5dfeb27019f4c4a3f56bf1,Dermatology,11300,"Shave removal, lesion",2023,331,198,67,0.3062,111.0,190.12,102.02,0.5839,303,0.0924,112.3,-0.0116,111.79,0.5818,-0.0071,false,2026-03-27T14:04:02.726092
e0873aba033830d1b093a2a61fd63f79,Gastroenterology,43239,Upper GI endoscopy w/biopsy,2021,241,134,55,0.5094,228.52,392.53,251.03,0.5822,,,,,198.24,0.5825,0.1527,false,2026-03-27T14:04:02.726119
af30e873053b095fe975e8abe20a9db1,Gastroenterology,45380,Colonoscopy w/biopsy,2021,57,30,25,0.1581,210.4,367.89,224.69,0.5719,,,,,198.24,0.5825,0.0613,false,2026-03-27T14:04:02.726137
538cbf0fc7406918a90ccb7db6046820,Gastroenterology,45385,Colonoscopy w/polyp removal,2021,240,132,32,0.4551,228.74,384.04,207.96,0.5956,,,,,198.24,0.5825,0.1539,false,2026-03-27T14:04:02.726154
7cda15b7477f0abafdf81a1b85c02608,Gastroenterology,45378,"Colonoscopy, diagnostic",2021,113,63,46,0.2122,196.51,340.5,195.62,0.5771,,,,,198.24,0.5825,-0.0087,false,2026-03-27T14:04:02.726171
6b23907178387351812de7ee8cc5fe7d,Gastroenterology,43235,"Upper GI endoscopy, diagnostic",2021,96,52,26,0.4042,183.45,316.96,201.04,0.5788,,,,,198.24,0.5825,-0.0746,false,2026-03-27T14:04:02.726189
94a4ab9437b9828b5d71b290fb470c69,Gastroenterology,91065,Hydrogen breath test,2021,206,112,47,0.3581,134.97,228.23,124.41,0.5914,,,,,198.24,0.5825,-0.3192,false,2026-03-27T14:04:02.726206
